Census Field Name,Field Value,Final Field Name
C16001_031E,"Estimate; Total: - Other Asian and Pacific Island languages: - Speak English ""very well""",PAC_W_E
C16001_031M,"Margin of Error; Total: - Other Asian and Pacific Island languages: - Speak English ""very well""",PAC_W_M
C16001_032E,"Estimate; Total: - Other Asian and Pacific Island languages: - Speak English less than ""very well""",PAC_Li_E
C16001_032M,"Margin of Error; Total: - Other Asian and Pacific Island languages: - Speak English less than ""very well""",PAC_Li_M
C16001_033E,Estimate; Total: - Arabic:,Arabic_E
C16001_033M,Margin of Error; Total: - Arabic:,Arabic_M
C16001_034E,"Estimate; Total: - Arabic: - Speak English ""very well""",ARB_Well_E
C16001_034M,"Margin of Error; Total: - Arabic: - Speak English ""very well""",ARB_Well_M
C16001_035E,"Estimate; Total: - Arabic: - Speak English less than ""very well""",ARB_Lim_E
C16001_035M,"Margin of Error; Total: - Arabic: - Speak English less than ""very well""",ARB_Lim_M
C16001_036E,Estimate; Total: - Other and unspecified languages:,Other_E
C16001_036M,Margin of Error; Total: - Other and unspecified languages:,Other_M
C16001_037E,"Estimate; Total: - Other and unspecified languages: - Speak English ""very well""",OTH_W_E
C16001_037M,"Margin of Error; Total: - Other and unspecified languages: - Speak English ""very well""",OTH_W_M
C16001_038E,"Estimate; Total: - Other and unspecified languages: - Speak English less than ""very well""",OTH_Lim_E
C16001_038M,"Margin of Error; Total: - Other and unspecified languages: - Speak English less than ""very well""",OTH_Lim_M
,,
